algo_name,Pretty Name,task,metric,type,value
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),10,CLIP Score,erased,19.5821
importance_sampling_large_checkpoint_100,,10,CLIP Score,erased,19.1181
importance_sampling_large_checkpoint_1000,,10,CLIP Score,erased,19.7098
importance_sampling_large_checkpoint_200,,10,CLIP Score,erased,18.3721
importance_sampling_large_checkpoint_300,,10,CLIP Score,erased,18.8572
importance_sampling_large_checkpoint_400,,10,CLIP Score,erased,19.0846
importance_sampling_large_checkpoint_500,,10,CLIP Score,erased,19.1111
importance_sampling_large_checkpoint_600,,10,CLIP Score,erased,19.2394
importance_sampling_large_checkpoint_700,,10,CLIP Score,erased,19.2906
importance_sampling_large_checkpoint_800,,10,CLIP Score,erased,18.835
importance_sampling_large_checkpoint_900,,10,CLIP Score,erased,19.0146
importance_sampling_random_all,Forget-then-Finteune (Random),10,CLIP Score,erased,19.5761
importance_sampling_similar_all,Forget-then-Finetune (Similar),10,CLIP Score,erased,19.3251
last_timestep_sampling,Last Timestep,10,CLIP Score,erased,18.4205
adaptive_sampling_eta_0.1,Adaptive Sampling,10,CLIP Score,others,15.4747
first_timestep,First Timestep,10,CLIP Score,others,15.6963
gaussian_sampling_mean_200_std_100,"Gaussian Sampling (µ = 200, σ = 100)",10,CLIP Score,others,15.5308
gaussian_sampling_mean_200_std_50,"Gaussian Sampling (µ = 200, σ = 50)",10,CLIP Score,others,15.7314
gaussian_sampling_mean_300_std_100,"Gaussian Sampling (µ = 300, σ = 100)",10,CLIP Score,others,15.6989
gaussian_sampling_mean_300_std_50,"Gaussian Sampling (µ = 300, σ = 50)",10,CLIP Score,others,15.7887
importance_sampling,Baseline (Importance Sampling),10,CLIP Score,others,15.6762
importance_sampling_large,Forget-then-Finteune (Large),10,CLIP Score,others,16.6308
importance_sampling_large_alternate,Forget-then-Finteune (Alternate),10,CLIP Score,others,16.5836
importance_sampling_large_checkpoint_100,,10,CLIP Score,others,16.425
importance_sampling_large_checkpoint_1000,,10,CLIP Score,others,16.4265
importance_sampling_large_checkpoint_200,,10,CLIP Score,others,16.4629
importance_sampling_large_checkpoint_300,,10,CLIP Score,others,16.4063
importance_sampling_large_checkpoint_400,,10,CLIP Score,others,16.3902
importance_sampling_large_checkpoint_500,,10,CLIP Score,others,16.4741
importance_sampling_large_checkpoint_600,,10,CLIP Score,others,16.5591
importance_sampling_large_checkpoint_700,,10,CLIP Score,others,16.5774
importance_sampling_large_checkpoint_800,,10,CLIP Score,others,16.5888
importance_sampling_large_checkpoint_900,,10,CLIP Score,others,16.5602
importance_sampling_random_all,Forget-then-Finteune (Random),10,CLIP Score,others,16.429
importance_sampling_similar_all,Forget-then-Finetune (Similar),10,CLIP Score,others,16.3555
last_timestep_sampling,Last Timestep,10,CLIP Score,others,15.5985
